LOCATION,MEASURE,TIME,Value
HUN,THND_PER,2017,4421.4
HUN,THND_PER,2018,4469.475
HUN,THND_PER,2019,4512.15
HUN,THND_PER,2020,4460.45
HUN,THND_PER,2021,4641.85
HUN,THND_PER,2022,4709.025
IRL,THND_PER,1996,1319.2
IRL,THND_PER,1997,1371.6
IRL,THND_PER,1998,1520.75
IRL,THND_PER,1999,1614.425
IRL,THND_PER,2000,1692.05
IRL,THND_PER,2001,1745.2
IRL,THND_PER,2002,1776.975
IRL,THND_PER,2003,1810.475
IRL,THND_PER,2004,1864.85
IRL,THND_PER,2005,1951.95
IRL,THND_PER,2006,2043.65
IRL,THND_PER,2007,2221.275
IRL,THND_PER,2008,2198.875
IRL,THND_PER,2009,2015.15
IRL,THND_PER,2010,1925.425
IRL,THND_PER,2011,1888.3
IRL,THND_PER,2012,1880.425
IRL,THND_PER,2013,1937.775
IRL,THND_PER,2014,1988.725
IRL,THND_PER,2015,2056.925
IRL,THND_PER,2016,2132.125
IRL,THND_PER,2017,2193.95
IRL,THND_PER,2018,2257.275
IRL,THND_PER,2019,2322.325
IRL,THND_PER,2020,2294.075
IRL,THND_PER,2021,2389.225
IRL,THND_PER,2022,2547.3
ITA,THND_PER,1996,19950.72
ITA,THND_PER,1997,20027.45
ITA,THND_PER,1998,20424.05
ITA,THND_PER,1999,20682.3
ITA,THND_PER,2000,21072.93
ITA,THND_PER,2001,21506.75
ITA,THND_PER,2002,21820.72
ITA,THND_PER,2003,22047.15
ITA,THND_PER,2004,22362.4
ITA,THND_PER,2005,22406.9
ITA,THND_PER,2006,22757.43
ITA,THND_PER,2007,22893.95
ITA,THND_PER,2008,23090.18
ITA,THND_PER,2009,22698.32
ITA,THND_PER,2010,22526.13
ITA,THND_PER,2011,22597.65
ITA,THND_PER,2012,22565.32
ITA,THND_PER,2013,22190.4
ITA,THND_PER,2014,22278.45
ITA,THND_PER,2015,22464.2
ITA,THND_PER,2016,22757.43
ITA,THND_PER,2017,23021.93
ITA,THND_PER,2018,23213.97
ITA,THND_PER,2019,23359.55
ITA,THND_PER,2020,22903.13
ITA,THND_PER,2021,22553.95
ITA,THND_PER,2022,23099.4
MEX,THND_PER,1996,33495.83
MEX,THND_PER,1997,35425.19
MEX,THND_PER,1998,36356.97
MEX,THND_PER,1999,36774.94
MEX,THND_PER,2000,37594.3
MEX,THND_PER,2001,37684.47
MEX,THND_PER,2002,38559.82
MEX,THND_PER,2003,38877.61
MEX,THND_PER,2004,40216.1
MEX,THND_PER,2005,42079.14
MEX,THND_PER,2006,43378.46
