LOCATION,MEASURE,TIME,Value
HUN,PC_AGE,2000,2.631018277
HUN,PC_AGE,2001,2.030401774
HUN,PC_AGE,2002,2.246821643
HUN,PC_AGE,2003,2.740178337
HUN,PC_AGE,2004,2.927701423
HUN,PC_AGE,2005,2.599691689
HUN,PC_AGE,2006,2.714882269
HUN,PC_AGE,2007,3.24980852
HUN,PC_AGE,2008,3.332244364
HUN,PC_AGE,2009,3.338753385
HUN,PC_AGE,2010,3.35599437
HUN,PC_AGE,2011,2.168540739
HUN,PC_AGE,2012,2.177379744
HUN,PC_AGE,2013,2.013867945
HUN,PC_AGE,2014,1.874519566
HUN,PC_AGE,2015,2.068345627
HUN,PC_AGE,2016,2.448133734
HUN,PC_AGE,2017,2.703943005
HUN,PC_AGE,2018,3.2657894
HUN,PC_AGE,2019,4.159748155
HUN,PC_AGE,2020,4.518135432
HUN,PC_AGE,2021,8.874753803
HUN,PC_AGE,2022,9.640280319
IRL,PC_AGE,1996,8.488964346
IRL,PC_AGE,1997,8.449642562
IRL,PC_AGE,1998,8.202597198
IRL,PC_AGE,1999,8.030653752
IRL,PC_AGE,2000,6.802671998
IRL,PC_AGE,2001,6.969019565
IRL,PC_AGE,2002,7.149003108
IRL,PC_AGE,2003,6.849821944
IRL,PC_AGE,2004,6.833229688
IRL,PC_AGE,2005,7.052957257
IRL,PC_AGE,2006,7.499688103
IRL,PC_AGE,2007,8.424856766
IRL,PC_AGE,2008,8.646487114
IRL,PC_AGE,2009,8.386246796
IRL,PC_AGE,2010,8.300156898
IRL,PC_AGE,2011,8.401427619
IRL,PC_AGE,2012,8.50672092
IRL,PC_AGE,2013,8.705009604
IRL,PC_AGE,2014,9.024931401
IRL,PC_AGE,2015,9.869007374
IRL,PC_AGE,2016,10.06232172
IRL,PC_AGE,2017,9.846880552
IRL,PC_AGE,2018,10.55133474
IRL,PC_AGE,2019,11.22698335
IRL,PC_AGE,2020,11.45499581
IRL,PC_AGE,2021,12.82281704
IRL,PC_AGE,2022,12.4073633
ITA,PC_AGE,1996,3.624189606
ITA,PC_AGE,1997,3.962146423
ITA,PC_AGE,1998,3.625038293
ITA,PC_AGE,1999,3.445850914
ITA,PC_AGE,2000,3.313683615
ITA,PC_AGE,2001,3.419121801
ITA,PC_AGE,2002,3.45951126
ITA,PC_AGE,2003,3.383908553
ITA,PC_AGE,2004,3.205458831
ITA,PC_AGE,2005,3.151346
ITA,PC_AGE,2006,3.293032551
ITA,PC_AGE,2007,3.287095777
ITA,PC_AGE,2008,3.402332792
ITA,PC_AGE,2009,3.191609408
ITA,PC_AGE,2010,3.166373221
ITA,PC_AGE,2011,3.1955186
ITA,PC_AGE,2012,3.432622216
ITA,PC_AGE,2013,3.51524878
ITA,PC_AGE,2014,3.69816828
ITA,PC_AGE,2015,3.839827973
ITA,PC_AGE,2016,3.990786212
ITA,PC_AGE,2017,4.421258028
ITA,PC_AGE,2018,4.779428266
ITA,PC_AGE,2019,5.066660934
ITA,PC_AGE,2020,5.05533052
ITA,PC_AGE,2021,5.24877639
ITA,PC_AGE,2022,5.071945456
MEX,PC_AGE,1996,31.29092157
MEX,PC_AGE,1997,31.95897384
MEX,PC_AGE,1998,33.21613699
MEX,PC_AGE,1999,31.10590046
MEX,PC_AGE,2000,30.60631682
MEX,PC_AGE,2001,29.70773558
MEX,PC_AGE,2002,30.1248488
MEX,PC_AGE,2003,28.9846796
MEX,PC_AGE,2004,28.8694211
MEX,PC_AGE,2005,29.51265469
MEX,PC_AGE,2006,29.27930949
MEX,PC_AGE,2007,28.48246014
MEX,PC_AGE,2008,28.58135423
MEX,PC_AGE,2009,27.97205462
MEX,PC_AGE,2010,27.69768331
MEX,PC_AGE,2011,26.87257862
MEX,PC_AGE,2012,27.11882854
MEX,PC_AGE,2013,26.87658242
MEX,PC_AGE,2014,26.85482054
MEX,PC_AGE,2015,27.78465638
MEX,PC_AGE,2016,27.22860066
MEX,PC_AGE,2017,26.83419741
MEX,PC_AGE,2018,27.15489014
MEX,PC_AGE,2019,26.95762705
MEX,PC_AGE,2020,24.11135953
MEX,PC_AGE,2021,23.85363373
MEX,PC_AGE,2022,24.90626388
NLD,PC_AGE,1996,2.971845673
NLD,PC_AGE,1997,2.989690722
NLD,PC_AGE,1998,3.297818366
NLD,PC_AGE,1999,2.908726179
NLD,PC_AGE,2000,3.166749134
NLD,PC_AGE,2001,2.979970689
NLD,PC_AGE,2002,3.376748673
NLD,PC_AGE,2003,3.692493755
NLD,PC_AGE,2004,4.036140944
NLD,PC_AGE,2005,4.199941241
NLD,PC_AGE,2006,4.36869164
NLD,PC_AGE,2007,5.023085061
NLD,PC_AGE,2008,5.092970091
NLD,PC_AGE,2009,5.891771996
NLD,PC_AGE,2010,5.855874382
NLD,PC_AGE,2011,5.674519514
NLD,PC_AGE,2012,6.697228654
NLD,PC_AGE,2013,7.065592383
NLD,PC_AGE,2014,7.741990102
NLD,PC_AGE,2015,7.075941184
NLD,PC_AGE,2016,6.901192169
NLD,PC_AGE,2017,7.571736337
NLD,PC_AGE,2018,8.240669017
NLD,PC_AGE,2019,9.203013469
NLD,PC_AGE,2020,9.114803881
NLD,PC_AGE,2021,9.743086208
NLD,PC_AGE,2022,11.03233465
NZL,PC_AGE,1996,6.651829859
NZL,PC_AGE,1997,6.213450403
NZL,PC_AGE,1998,5.987016157
NZL,PC_AGE,1999,7.169990547
NZL,PC_AGE,2000,7.712142574
NZL,PC_AGE,2001,8.656509765
NZL,PC_AGE,2002,9.604005599
NZL,PC_AGE,2003,9.894784134
NZL,PC_AGE,2004,11.32116941
NZL,PC_AGE,2005,11.79245248
NZL,PC_AGE,2006,12.95873914
NZL,PC_AGE,2007,14.26269124
NZL,PC_AGE,2008,15.49713389
NZL,PC_AGE,2009,15.95908852
NZL,PC_AGE,2010,17.14500077
NZL,PC_AGE,2011,19.0242125
NZL,PC_AGE,2012,19.9894975
NZL,PC_AGE,2013,20.74423292
NZL,PC_AGE,2014,21.2997559
NZL,PC_AGE,2015,22.02483871
NZL,PC_AGE,2016,23.39777738
NZL,PC_AGE,2017,24.31395676
NZL,PC_AGE,2018,24.13940291
NZL,PC_AGE,2019,24.14550446
NZL,PC_AGE,2020,24.75612971
NZL,PC_AGE,2021,25.09899093
NZL,PC_AGE,2022,25.20507084
NOR,PC_AGE,1996,9.863013699
NOR,PC_AGE,1997,11.5819209
NOR,PC_AGE,1998,11.2716763
NOR,PC_AGE,1999,11.24260355
NOR,PC_AGE,2000,9.651681189
NOR,PC_AGE,2001,11.63834495
NOR,PC_AGE,2002,11.68193433
NOR,PC_AGE,2003,12.97590772
NOR,PC_AGE,2004,13.03081618
NOR,PC_AGE,2005,13.00297353
NOR,PC_AGE,2006,14.03906515
NOR,PC_AGE,2007,15.38453611
NOR,PC_AGE,2008,16.43451695
NOR,PC_AGE,2009,17.40246716
NOR,PC_AGE,2010,18.25985728
NOR,PC_AGE,2011,18.66915562
NOR,PC_AGE,2012,18.71917643
NOR,PC_AGE,2013,18.36367849
NOR,PC_AGE,2014,10.99094086
NOR,PC_AGE,2015,11.53135199
NOR,PC_AGE,2016,10.91675887
NOR,PC_AGE,2017,10.78188178
NOR,PC_AGE,2018,11.04582351
NOR,PC_AGE,2019,10.96700267
NOR,PC_AGE,2020,10.48536712
NOR,PC_AGE,2021,14.70607182
NOR,PC_AGE,2022,13.65157306
SVK,PC_AGE,1996,1.515151515
SVK,PC_AGE,1997,1.306970509
SVK,PC_AGE,1998,1.338179415
SVK,PC_AGE,1999,1.277641278
SVK,PC_AGE,2000,1.121768818
SVK,PC_AGE,2001,1.049063912
SVK,PC_AGE,2002,0.984665052
SVK,PC_AGE,2003,1.226795803
SVK,PC_AGE,2004,1.310043668
SVK,PC_AGE,2005,1.412293372
SVK,PC_AGE,2006,1.106369527
SVK,PC_AGE,2007,1.165309523
SVK,PC_AGE,2008,1.633675989
SVK,PC_AGE,2009,1.511282506
SVK,PC_AGE,2010,1.813715255
SVK,PC_AGE,2011,1.835070684
SVK,PC_AGE,2012,1.75632221
SVK,PC_AGE,2013,1.713126263
SVK,PC_AGE,2014,2.018043006
SVK,PC_AGE,2015,2.562364548
SVK,PC_AGE,2016,2.668585207
SVK,PC_AGE,2017,3.57817986
SVK,PC_AGE,2018,3.984092133
SVK,PC_AGE,2019,4.56125901
SVK,PC_AGE,2020,4.506286059
SVK,PC_AGE,2021,4.351438596
SVK,PC_AGE,2022,4.868388122
ESP,PC_AGE,1996,1.810901962
ESP,PC_AGE,1997,1.566300224
ESP,PC_AGE,1998,1.520743897
ESP,PC_AGE,1999,1.67004911
ESP,PC_AGE,2000,1.6360601
ESP,PC_AGE,2001,1.607803365
ESP,PC_AGE,2002,1.538322542
ESP,PC_AGE,2003,1.593499814
ESP,PC_AGE,2004,1.605965292
ESP,PC_AGE,2005,2.02115786
ESP,PC_AGE,2006,2.087308315
ESP,PC_AGE,2007,2.007032516
ESP,PC_AGE,2008,2.139053432
ESP,PC_AGE,2009,2.054917185
ESP,PC_AGE,2010,2.0271856
ESP,PC_AGE,2011,1.977190995
ESP,PC_AGE,2012,2.057152161
ESP,PC_AGE,2013,1.824867909
ESP,PC_AGE,2014,1.718353795
ESP,PC_AGE,2015,1.861085395
ESP,PC_AGE,2016,1.962998156
ESP,PC_AGE,2017,2.135251544
ESP,PC_AGE,2018,2.300552341
ESP,PC_AGE,2019,2.527121518
ESP,PC_AGE,2020,2.881012403
ESP,PC_AGE,2021,3.264402217
ESP,PC_AGE,2022,3.530131492
SWE,PC_AGE,1996,7.914572864
SWE,PC_AGE,1997,7.42637644
SWE,PC_AGE,1998,8.051948052
SWE,PC_AGE,1999,7.275132275
SWE,PC_AGE,2000,10.32171582
SWE,PC_AGE,2001,9.568733154
SWE,PC_AGE,2002,9.959623149
SWE,PC_AGE,2003,10.20134228
SWE,PC_AGE,2004,9.292446568
SWE,PC_AGE,2005,10.08096109
SWE,PC_AGE,2006,10.30795001
SWE,PC_AGE,2007,11.26690035
SWE,PC_AGE,2008,12.33781836
SWE,PC_AGE,2009,12.73387226
